Name,Address,Postcode,Category,Type,Type 2,Source,lat,long,Description
"Ecce Homo; By Epstein, Jacob., Sir. (1880-1959); Inside The Ruins, Backing The South Wall, Cathedral Ruins, Coventry; Sa/68;1934 - 1935","Ecce Homo; By Epstein, Jacob., Sir. (1880-1959); Inside The Ruins, Backing The South Wall, Cathedral Ruins, Coventry; Sa/68;1934 - 1935",CV1 5EP,Public Art - Sculpture,Public Art - Sculpture,Manually Updated,Public Art Audit,52.408844,-1.507785,
"Peeping Tom; By Unknown; In Niche At Entrance To Covered Portion Of Hertford Street, Coventry; Sa/70;Pre 1969","Peeping Tom; By Unknown; In Niche At Entrance To Covered Portion Of Hertford Street, Coventry; Sa/70;Pre 1969",CV1 1LF,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.406837,-1.511585,
"Untitled Sculpture; By Bridgeman, John Arca, Frbs, Rbsa (Born In 1916); Beside City Wall, Lamb Street, Coventry; Sa/72;1973","Untitled Sculpture; By Bridgeman, John Arca, Frbs, Rbsa (Born In 1916); Beside City Wall, Lamb Street, Coventry; Sa/72;1973",CV1 4AE,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.41159,-1.513076,
"Corridor, The / The Corridor Monument; By Thomas, Mary; In Peace Park, Bayley Lane, Coventry, Set In Bed Of Ivy (Overgrown); Sa/75;1977","Corridor, The / The Corridor Monument; By Thomas, Mary; In Peace Park, Bayley Lane, Coventry, Set In Bed Of Ivy (Overgrown); Sa/75;1977",CV1 5RN,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.407709,-1.507671,
"Mural; By Williams, Sarah; In Interior Of Centre, Stoke Aldermoor Community Centre, Coventry; Sa/76;1977","Mural; By Williams, Sarah; In Interior Of Centre, Stoke Aldermoor Community Centre, Coventry; Sa/76;1977",CV3 1EG,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.397343,-1.475786,
"Santa, I Always Shop In Hillfields; By Cottrell, Karen; Formerly On Gable Wall Of Shop, Facing Down The Hill Towards The City Centre, Victoria Street, Coventry (Building Demolished); Sa/77;1977","Santa, I Always Shop In Hillfields; By Cottrell, Karen; Formerly On Gable Wall Of Shop, Facing Down The Hill Towards The City Centre, Victoria Street, Coventry (Building Demolished); Sa/77;1977",CV1 5JD,Public Art - Mural,Public Art - Mural,Manually Updated,Public Art Audit,52.4136,-1.499505,
"Stoke Heath Mural; By Mountford, Duncan. (B,1954); In Interior Of Centre, Valley Road Family Centre, Stoke Heath, Coventry; Sa/78;1979","Stoke Heath Mural; By Mountford, Duncan. (B,1954); In Interior Of Centre, Valley Road Family Centre, Stoke Heath, Coventry; Sa/78;1979",CV2 3QH,Public Art - Mural,Public Art - Mural,Manually Updated,Public Art Audit,52.423514,-1.478093,
"Murals; By Adams, Rob. And Warburton, Jeff.; On Interior Walls Of Hillfields Community Centre, Coventry; Sa/79;1979","Murals; By Adams, Rob. And Warburton, Jeff.; On Interior Walls Of Hillfields Community Centre, Coventry; Sa/79;1979",CV1 5NA,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.413174,-1.500636,
"The Great Tapestry - Christ In Glory; By Sutherland, Graham (1903-1980); On Interior Of North Wall (Liturgical East End), Coventry New Cathedral; Sa/271;","The Great Tapestry - Christ In Glory; By Sutherland, Graham (1903-1980); On Interior Of North Wall (Liturgical East End), Coventry New Cathedral; Sa/271;",CV1 5EP,Public Art - Hanging,Public Art - Hanging,,Public Art Audit,52.408844,-1.507785,
"Mural; By Local Children (C.25); On Wall On Derelict Site, Albert Street, Coventry; Sa/80;1980","Mural; By Local Children (C.25); On Wall On Derelict Site, Albert Street, Coventry; Sa/80;1980",CV1 5HA,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.413927,-1.498325,
"Decoration; By Steane, G. & I. (Architect); On Exterior Wall Facing Broad Street, Broad Heath Primary School; Sa/82;1910","Decoration; By Steane, G. & I. (Architect); On Exterior Wall Facing Broad Street, Broad Heath Primary School; Sa/82;1910",CV2 4QN,Public Art - Architectural Detail,Public Art - Architectural Detail,,Public Art Audit,52.417875,-1.489937,
"St. Christopher; By Ritchie, Walter (1919-1997); Outside School, Beside Main Entrance, St. Christopher'S Primary School, Coventry; Sa/89;1952","St. Christopher; By Ritchie, Walter (1919-1997); Outside School, Beside Main Entrance, St. Christopher'S Primary School, Coventry; Sa/89;1952",CV5 9JH,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.414005,-1.551026,
"(Relief); By Unknown; Above Main Entrance Door, John Shelton School; Sa/83;1936 (?)","(Relief); By Unknown; Above Main Entrance Door, John Shelton School; Sa/83;1936 (?)",CV6 4JU,Public Art - Architectural Detail,Public Art - Architectural Detail,,Public Art Audit,52.450377,-1.509691,
"Eagle; By Tennant, Trevor (Born 1906) Or (1900-1980); On Outside Wall Of School Facing Ulverscroft Road, Manor Park School, Coventry; Sa/84;1950","Eagle; By Tennant, Trevor (Born 1906) Or (1900-1980); On Outside Wall Of School Facing Ulverscroft Road, Manor Park School, Coventry; Sa/84;1950",CV3 5EZ,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.391381,-1.509008,
"; By Brown, James C. ('Jim') (B. 1917); On Interior Corridor Wall, Radford Primary School, Coventry; Sa/85;1950","; By Brown, James C. ('Jim') (B. 1917); On Interior Corridor Wall, Radford Primary School, Coventry; Sa/85;1950",CV6 1HD,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.420225,-1.520981,
"; By Candey, Victor Emmanuel  (About 1885 To 1958); On Wall Of School Entrance, Stivichall Infants School, Coventry; Sa/87;1951","; By Candey, Victor Emmanuel  (About 1885 To 1958); On Wall Of School Entrance, Stivichall Infants School, Coventry; Sa/87;1951",CV3 6DH,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.386587,-1.52825,
"Unicorn; By Rowe, Clifford A. (1904-1989); On Wall In Main Entrance, Whitmore Park Junior School, Coventry; Sa/88;1951","Unicorn; By Rowe, Clifford A. (1904-1989); On Wall In Main Entrance, Whitmore Park Junior School, Coventry; Sa/88;1951",CV6 2HG,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.438572,-1.52721,
"Mosaic Fountain; By Freeth; Outside Main Entrance To School, Aldermans Green Junior School, Coventry; Sa/90;1953","Mosaic Fountain; By Freeth; Outside Main Entrance To School, Aldermans Green Junior School, Coventry; Sa/90;1953",CV2 1PP,Public Art - Fountain,Public Art - Fountain,,Public Art Audit,52.445733,-1.473064,
"; By Hutton, John (1906-1978); On Wall In Main Entrance Hall, Courthouse Green Junior School, Coventry; Sa/91;1953 - 1958","; By Hutton, John (1906-1978); On Wall In Main Entrance Hall, Courthouse Green Junior School, Coventry; Sa/91;1953 - 1958",CV6 7JJ,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.430722,-1.479553,
"; By Millett, Fred. And Carr, Dorothy; On Wall Of Entrance Hall, Wood End Junior School, Coventry; Sa/92;1954","; By Millett, Fred. And Carr, Dorothy; On Wall Of Entrance Hall, Wood End Junior School, Coventry; Sa/92;1954",CV9 2QL,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.579832,-1.645702,
"('Beatnik Fairies And Elves'); By Cree, Patricia; On Wall In Unused Block Of School, Whitmore Park Infants School, Coventry; Sa/100;1956","('Beatnik Fairies And Elves'); By Cree, Patricia; On Wall In Unused Block Of School, Whitmore Park Infants School, Coventry; Sa/100;1956",CV6 2HG,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.438572,-1.52721,
"(Landscape With Animals); By Shenstone, Trevor; On Interior Classroom Wall, Parkgate Infants School, Coventry; Sa/101;1957","(Landscape With Animals); By Shenstone, Trevor; On Interior Classroom Wall, Parkgate Infants School, Coventry; Sa/101;1957",CV6 4GF,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.445485,-1.515969,
"Tile Mosaics; By Millett, Fred; On Both An Exterior Wall And An Exterior Courtyard Wall, Tile Hill Wood School, Coventry; Sa/102;1957","Tile Mosaics; By Millett, Fred; On Both An Exterior Wall And An Exterior Courtyard Wall, Tile Hill Wood School, Coventry; Sa/102;1957",CV4 9PW,Public Art - Mosaic,Public Art - Mosaic,,Public Art Audit,52.403714,-1.589411,
"(Human Figures); By Werner, Michael. (B.1912); On Exterior Of School Hall, Foxford School, Coventry; Sa/103;1957","(Human Figures); By Werner, Michael. (B.1912); On Exterior Of School Hall, Foxford School, Coventry; Sa/103;1957",CV6 6BB,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.453406,-1.480021,
"(Two Seated Children); By Peri, Peter. (1899-1967); Inner Courtyard Of School, Willenhall Wood Junior School, Coventry; Sa/104;1957 - 1959","(Two Seated Children); By Peri, Peter. (1899-1967); Inner Courtyard Of School, Willenhall Wood Junior School, Coventry; Sa/104;1957 - 1959",CV3 3DB,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.386398,-1.460899,
"Ballad Of Sir. Patrick Spens, The; By Browning, R.; On Wall Beside Entrance, Wyken Croft Infants School, Coventry.; Sa/105;1958","Ballad Of Sir. Patrick Spens, The; By Browning, R.; On Wall Beside Entrance, Wyken Croft Infants School, Coventry.; Sa/105;1958",CV2 3AA,Public Art - Painting,Public Art - Painting,,Public Art Audit,52.419692,-1.457912,
"(Cats, Birds, Sun, Etc); By Powell, J. M. And Hatfield, D. J.; On Wall Of Main Hall, Willenhall Wood Infants School, Coventry; Sa/106;1958","(Cats, Birds, Sun, Etc); By Powell, J. M. And Hatfield, D. J.; On Wall Of Main Hall, Willenhall Wood Infants School, Coventry; Sa/106;1958",CV3 3DB,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.386398,-1.460899,
"(City Coat Of Arms); By Brown, James C. ('Jim') (B. 1917); On Wall Of School Driveway, Corley Residential School, Coventry; Sa/107;1959","(City Coat Of Arms); By Brown, James C. ('Jim') (B. 1917); On Wall Of School Driveway, Corley Residential School, Coventry; Sa/107;1959",CV7 8AZ,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.462718,-1.561746,
"(Children Playing Game Of Fivestones); By Dawson, Bob; On Lawn Outside Main Entrance To Hall, Corley Residential School, Coventry; Sa/108;1959","(Children Playing Game Of Fivestones); By Dawson, Bob; On Lawn Outside Main Entrance To Hall, Corley Residential School, Coventry; Sa/108;1959",CV7 8AZ,Public Art - Sculpure,Public Art - Sculpure,,Public Art Audit,52.462718,-1.561746,
"(Rural Landscape); By Millett, Fred; On Verandah Wall Of Junior Boys Day Room, Corley Residential School, Coventry; Sa/109;1959","(Rural Landscape); By Millett, Fred; On Verandah Wall Of Junior Boys Day Room, Corley Residential School, Coventry; Sa/109;1959",CV7 8AZ,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.462718,-1.561746,
"(Figures With St. Michael); By Peri, Peter; On Exterior Wall Of School Facing Road, St. Michael'S Primary School, Coventry; Sa/110;1959","(Figures With St. Michael); By Peri, Peter; On Exterior Wall Of School Facing Road, St. Michael'S Primary School, Coventry; Sa/110;1959",CV12 9DA,Public Art - Relief,Public Art - Relief,Manually Updated,Public Art Audit,52.482861,-1.462696,
"Dancers  Or  Three Figures; By Wagstaffe, George (Born In 1939); In Courtyard Of School, Lyng Hall School, Coventry; Sa/112;1960","Dancers  Or  Three Figures; By Wagstaffe, George (Born In 1939); In Courtyard Of School, Lyng Hall School, Coventry; Sa/112;1960",CV2 3JS,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.424394,-1.471796,
"(Flute Player); By Peri, Peter; Beside Playground, Ernesford Grange Junior School, Coventry; Sa/113;1965","(Flute Player); By Peri, Peter; Beside Playground, Ernesford Grange Junior School, Coventry; Sa/113;1965",CV3 2HN,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.399878,-1.452019,
"(Abstract Relief); By Wagstaffe, George (Born In 1939); Lawn Beside School Entrance, Caludon Castle School, Coventry; Sa/114;1966","(Abstract Relief); By Wagstaffe, George (Born In 1939); Lawn Beside School Entrance, Caludon Castle School, Coventry; Sa/114;1966",CV2 5BD,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.414683,-1.45363,
"Kennedy Mural, The; By Foster, David; Main Entrance Hall, President Kennedy School, Coventry; Sa/115;1968","Kennedy Mural, The; By Foster, David; Main Entrance Hall, President Kennedy School, Coventry; Sa/115;1968",CV6 4GL,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.449072,-1.520403,
"(Free-Standing Abstract); By Oxley, Mr. ( Art Teacher At The School); Lawn Outside School Entrance, President Kennedy School, Coventry; Sa/116;1968","(Free-Standing Abstract); By Oxley, Mr. ( Art Teacher At The School); Lawn Outside School Entrance, President Kennedy School, Coventry; Sa/116;1968",CV6 4GL,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.449072,-1.520403,
"(Relief Incorporating Individual Works By Pupils); By Wagstaffe, George (Born In 1939); On Exterior Wall Of Art Department, Caludon Castle School, Coventry; Sa/117;1968","(Relief Incorporating Individual Works By Pupils); By Wagstaffe, George (Born In 1939); On Exterior Wall Of Art Department, Caludon Castle School, Coventry; Sa/117;1968",CV2 5BD,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.414683,-1.45363,
"(Heraldic Type Design); By Jarvis, Martin. (B.1952); On Exterior Wall Of Classroom, Facing Playground, Caludon Castle School, Coventry; Sa/119;1969 - 1970","(Heraldic Type Design); By Jarvis, Martin. (B.1952); On Exterior Wall Of Classroom, Facing Playground, Caludon Castle School, Coventry; Sa/119;1969 - 1970",CV2 5BD,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.414683,-1.45363,
"(History Of Travel); By Walton, Frank (Designed By); On Exterior Playground Wall, Broad Heath School, Coventry; Sa/118;1968 - 1969","(History Of Travel); By Walton, Frank (Designed By); On Exterior Playground Wall, Broad Heath School, Coventry; Sa/118;1968 - 1969",CV6 5TL,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.423894,-1.495265,
"Coventry Mysteries; By Holt, David. (B.1928); On Wall Beside Main Hall, Lyng Hall School, Coventry; Sa/96;C 1955","Coventry Mysteries; By Holt, David. (B.1928); On Wall Beside Main Hall, Lyng Hall School, Coventry; Sa/96;C 1955",CV2 3JS,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.424394,-1.471796,
"Coventry Mysteries; By Holt, David. (B.1928); Main Hall Stage, Lyng Hall School, Coventry.   Is Curtains.; Sa/97;1955","Coventry Mysteries; By Holt, David. (B.1928); Main Hall Stage, Lyng Hall School, Coventry.   Is Curtains.; Sa/97;1955",CV2 3JS,Public Art - Hanging,Public Art - Hanging,,Public Art Audit,52.424394,-1.471796,
"Moat Street Car Park, Cv1 3Az","Moat Street Car Park, CV1 3AZ",CV1 3AZ,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.407719,-1.518367,
"Hearsall Common, Cv8 5Fd","Hearsall Common, CV8 5FD",CV5 6GN,Potential MTU Sites,Potential MTU Sites,Manually Updated,CSW Resilience Team,52.40231,-1.532669,
"Woodlands Academy, Cv5 7Ff","Woodlands Academy, CV5 7FF",CV5 7FF,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.413467,-1.591109,
"War Memorial Park, Cv3 6Pt","War Memorial Park, CV3 6PT",CV3 6PT,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.395564,-1.520718,
"Lower Ford Street Car Park, Cv1 5Ps","Lower Ford Street Car Park, CV1 5PS",CV1 5PS,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.409108,-1.50032,
"City Arcade Car Park, Cv1 3Hx","City Arcade Car Park, CV1 3HX",CV1 3HX,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.40604,-1.514593,
"Regional Facility - Ricoh Arena, Cv6 6Ge","Regional Facility - Ricoh Arena, CV6 6GE",CV6 6GE,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.448284,-1.497421,
"Blythe Valley Bus Park, B90 8Ab","Blythe Valley Bus Park, B90 8AB",B90 8AB,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.371999,-1.797876,
"Birmingham Business Park, B37 7Yn","Birmingham Business Park, B37 7YN",B37 7YN,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.468006,-1.720811,
"Monkspath Hall Road Car Park, B91 3Dn","Monkspath Hall Road car park, B91 3DN",B91 3DN,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.407264,-1.78547,
"Kingsbury Water Park, B76 0Dy","Kingsbury Water Park, B76 0DY",B76 0DY,Potential MTU Sites,Potential MTU Sites,Manually Updated,CSW Resilience Team,52.560752,-1.700161,
"Cattle Market Car Park, Atherstone, Cv9 1Dd","Cattle Market Car Park, Atherstone, CV9 1DD",CV9 1DD,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.576465,-1.549006,
"Harefield Road, Nuneaton, Cv11 4Hr","Harefield Road, Nuneaton, CV11 4HR",CV11 4HR,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.52578,-1.468791,
"Spitalfields Car Park, Bedworth, Cv12 8Jh","Spitalfields Car Park, Bedworth, CV12 8JH",CV12 8JH,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.478378,-1.46945,
"Malt Kiln Farm Shop, Stretton-Under-Fosse, Cv23 0Pe","Malt Kiln Farm Shop, Stretton-under-Fosse, CV23 0PE",CV23 0PE,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.429146,-1.337091,
"Queens Diamond Jubilee Leisure Centre, Rugby, †Cv22 5Lj","Queens Diamond Jubilee Leisure Centre, Rugby, †CV22 5LJ",CV22 5LJ,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.3662,-1.254712,
"Draycote Water, South Rugby, Cv23 8Ab","Draycote Water, South Rugby, CV23 8AB",CV23 8AB,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.318598,-1.316236,
"Castle Farm Rec, Kenilworth, Cv8 1Ey","Castle Farm Rec, Kenilworth, CV8 1EY",CV8 1EY,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.34026,-1.585825,
"Covent Garden Car Park, Leamington, Cv32 5Hz","Covent Garden Car Park, Leamington, CV32 5HZ",CV32 5HZ,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.28953,-1.543433,
"Warwick Racecourse Car Park, Warwick, Cv34 6Hu","Warwick Racecourse Car Park, Warwick, CV34 6HU",CV34 6HU,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.277859,-1.597212,
"The Henley Golf Club Car Park, Henley-In-Arden, B95 5Qa","The Henley Golf Club Car Park, Henley-in-Arden, B95 5QA",B95 5QA,Potential MTU Sites,Potential MTU Sites,Manually Updated,CSW Resilience Team,52.297013,-1.778495,
"Stratford Park-And-Ride, Stratford, Cv37 0Rj","Stratford Park-and-Ride, Stratford, CV37 0RJ",CV37 0RJ,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.208967,-1.722948,
"Stratford College, Cv37 9Qr","Stratford College, CV37 9QR",CV37 9QR,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.192858,-1.718214,
"Ettington Chase Hotel, Ettington, Cv37 7Nz","Ettington Chase Hotel, Ettington, CV37 7NZ",CV37 7NZ,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.133706,-1.600105,
"Burton Dallas Polo Club, Southam, Cv47 2Dl","Burton Dallas Polo Club, Southam, CV47 2DL",CV47 2DL,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.252219,-1.414039,
"Jlr Heritage Centre, Gaydon, Cv35 0Bj","JLR Heritage Centre, Gaydon, CV35 0BJ",CV35 0BJ,Potential MTU Sites,Potential MTU Sites,,CSW Resilience Team,52.188862,-1.48099,
Greyfriars Green- Ducking Stool/Women'S Freedom Of Speech/Night Watchman- Other Activities On Greyfriars Green,Greyfriars Green- ducking stool/women's freedom of speech/night watchman- other activities on greyfriars green,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4042428,-1.514485,"Ducking stool stories, there used to be a small pool here that local 'Scolds' or people (mainly women) who were known to speak their minds would be dunked on a large wooden stool. Evidence dates back to 1423. night watchman was based here in a small wooden booth in the 1700s. One night a group of youths tossed the watchman, still in his booth, into the pool. In the late 1800s all manner of public events took place here. An aeronaut began a balloon flight from here in 1830, various union and political meetings were held here and exotic animal shows took place here, with a zoo keeper being gored by an elephant in 1849. A captured Russian Gun was also put on display here."
Greyfriars Gate,Greyfriars Gate,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4058858,-1.5125362,"Rough lo cation(more likely in modern road) of Greyfriars Gate. One of the more elaborate gates of the city walls, looking more like a small castle. Demolished in 1781. Possibly one for AR- sounds of people walking through gate etc."
Empire Cinema/Music Venue,Empire Cinema/music venue,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.407286,-1.5109761,"Explain history of this area's use as a place for meetings, protests, and cinema, music hall etc. Talks given by† Dicken, Christobel Pankhurst and live music tradition continues with reopening of Empire music venue."
Pepper Lane,Pepper Lane,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4078736,-1.5089222,"Pepper Lane, formerly Gaol Lane as the Coventry County Gaol was on the corner of this and Cuckoo Lane. Poss information on Lanchester here if his ideas are used on lenticulated gate"
Former Locarno Coventry/ Tiffanies,Former Locarno Coventry/ Tiffanies,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4087467,-1.5130572,"Now Coventry's central library, this former music venue and dance hall, was host to the Specials very first gig. Subject of the B side to Ghost town,†Friday Night, Saturday Morning.. Live version of Chuck Berry's My ding-a-ling recorded here"
Egyptian Link- Time Capsules,Egyptian Link- time capsules,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4081885,-1.5117905,Info on link to Egypt- relief sculpture of Aten on Broadgate Column- idea for time capsules. AR to explain the contents of the time capsules and visuals.
Lady Herberts,Lady Herberts,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4108168,-1.5087695,"If regenerated- direct tourists here, explain art work commissioned for this area, and community groups involved in transformation"
Triumph Motorbike Factory/Siegfried Bettman,Triumph Motorbike Factory/Siegfried Bettman,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4094424,-1.5063841,"Site of original Triumph Factory, before being demolished after the war. The company was successful enough to occupy both sides of the street.German born Siegfried Bettman, founder of Triumph, was mayor Coventry during the outbreak of WW1,† and hoped that his term would facilitate the construction of fine municipal buildings such as a theatre, opera house and museum . However, he was forced to step down. due to his German origins the shortsightedness of his colleagues, and narrowly escaped being sent to an internment camp for being a supposed threat to national security during the war. The Triumph factory, still under his control,† went on to supply 1000's of motorbikes to service personnel throughout the war.†This area is a bit unloved and this could be a reason to bring people to the area"
Fleet Street/Spon End General History- Not Currently Featured On Tours,Fleet street/Spon End General History- not currently featured on tours,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4084868,-1.5161095,"Centre of industry in Coventry since Medieval times. occupied by workers within the dyeing, weaving, watch making, bicycle and automobile industries. The ring road cut off the street from Spon End, so this could be used to direct people to the Weaver's House (a tourist attraction) on the other side of the ring road. Direct people to some of the unique businesses on Spon Street- centre for regenerationCentre of industry in Coventry since Medieval times. First occupied by those in the weaving and tanning industries. At the time Spon St was outside the city gates, and tanners located here due to the stench from the urine used in the tanning process. They also had easy access to the River Sherbourne. By the 19th century the area was the watch making hub of the city and at the turn of the 20th century this had become a centre for the bicycle and motor industries with many former watch makers turning their expertise to this. The ring road cut off the street from Spon End, another historic area where the Weaver's House (a tourist attraction) is situated. Timber framed houses from other areas such as Much Park Street were relocated here in the late 60's and early 70's, so only some buildings are original however the area is very unique."
Godiva Processions,Godiva Processions,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4080528,-1.5106067,"Many pictures of the annual Godiva festival processions where Lady Godiva rode around town (nearly) naked, to celebrate the city's famous benefactress. This was popular throughout most of the 20th century and many local actresses and members of the public portrayed Godiva, accompanied by carnival floats and a fair."
Mystery Plays/The Waits,Mystery Plays/the waits,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4048314,-1.5136593,"Coventry Mystery plays proved popular for about 300 years, reenacting scenes from Bible stories in almost riotous fashion. Often accompanied by the Waits, four musicians paid for by the council who proved to be a rowdy bunch themselves,, often taking part in riots, playing to the rioters. The plays were famous and drew people from all over the country to Coventry, including numerous royals, and possibly a young Shakespeare, who may or may not have been influenced by these plays. Some may have been performed on Greyfriars Green. There is a mask held in the archives that may have been used in the coventry plays- could be incorporated into wayfaring/ar?"
Council House- Pearl Hyde/Coventry Women In Politics,Council House- Pearl Hyde/Coventry women in politics,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4072134,-1.5080434,"Pearl Hyde- trail blazing first female Lord Mayor of Coventry, beloved by many. Could link into National portrait gallery- suffragettes etc - Tony Guillan's project. Could mention Ann Lucas (too political?) Mo Mowlam.. the list goes on†"
Ar/Wayfaring Elements To Explain City Of Culture Stakeholders/Public Realm/Funding/Covid-19,AR/wayfaring elements to explain City of Culture stakeholders/public realm/funding/COVID-19,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4082049,-1.5120403,Could also be a springboard for an 'easter egg hunt' for artists commissioned for city of culture. Could also have something triggered from White Lion Mosaic giving info on discovery
Former Site Of The Eclipse Night Club,Former site of the Eclipse Night club,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4092096,-1.5001886,"Site of the Eclipse, known for holding the first legal all night raves in Coventry. Amnesia House did regular nights here, after having held many illegal outdoor raves. The was created, headed by a Coventry local, who compromised by offering them the Sky blue Connexion, in Ryton, to hold legal raves. This them moved to the Eclipse. Now a car park."
Short Street- Site Of First Social Housing,Short Street- Site of first social housing,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4042881,-1.5035533,"First social housing built in 1907, aimed at families who could not afford private rent, backed by the city's first labour councillor, Gorge Poole"
Pool Meadow Womens Suffrage,Pool Meadow Womens Suffrage,CV1 2GN,Coventry Wayfinding Map - ARWayfaring,Coventry Wayfinding Map - ARWayfaring,,Coventry Wayfinding Map,52.4103756,-1.5069491,"Meetings helf her (incl. pictures) of Suffragettes,who were often chased by karge crowds, threatened and had items thrown at them, however they stood their ground- could also use broadgate- two sisters regularly handed out suffragette newspapers here despite animosity to towards their cause, or the empire on Hertford St, as Christobel Pankhurst† spoke here"
