Attribute,Theme,Order,Hyperlink - link to a pdf or a webpage poss FAC poss CoC,Notes
Q34d - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Live music - Not attended/done at least three times in past 12 months,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Live music 
Q34d - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Live music - Virtual,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Virtual' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Live music 
Q34e - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Theatre performances - Both,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Both' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Theatre performances 
Q34e - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Theatre performances - In person,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'In person' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Theatre performances 
Q34e - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Theatre performances - Not attended/done at least three times in past 12 months,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Theatre performances 
Q34e - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Theatre performances - Virtual,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Virtual' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Theatre performances 
Q34f - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) - Both,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Both' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) 
Q34f - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) - In person,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'In person' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) 
Q34f - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) - Not attended/done at least three times in past 12 months,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) 
Q34f - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) - Virtual,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Virtual' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) 
"Q34g - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) "
"Q34g - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) "
"Q34g - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) "
"Q34g - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) "
Q34h - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Faith-based cultural activities - Both,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Both' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Faith-based cultural activities 
Q34h - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Faith-based cultural activities - In person,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'In person' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Faith-based cultural activities 
Q34h - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Faith-based cultural activities - Not attended/done at least three times in past 12 months,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Faith-based cultural activities 
Q34h - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Faith-based cultural activities - Virtual,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Virtual' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Faith-based cultural activities 
"Q34i - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) "
"Q34i - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) "
"Q34i - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) "
"Q34i - Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have you attended the following cultural events/attractions online or in person in Coventry at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) "
Q35 - Do you have children aged 18 or under in your household? - No,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'No' to the question: Do you have children aged 18 or under in your household? 
Q35 - Do you have children aged 18 or under in your household? - Yes,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Yes' to the question: Do you have children aged 18 or under in your household? 
"Q36a - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Museums and galleries (including collections/exhibitions) - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Museums and galleries (including collections/exhibitions) "
"Q36a - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Museums and galleries (including collections/exhibitions) - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Museums and galleries (including collections/exhibitions) "
"Q36a - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Museums and galleries (including collections/exhibitions) - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Museums and galleries (including collections/exhibitions) "
"Q36a - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Museums and galleries (including collections/exhibitions) - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Museums and galleries (including collections/exhibitions) "
"Q36b - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Pubs, clubs, and bars (when COVID restrictions were lifted) - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Pubs, clubs, and bars (when COVID restrictions were lifted) "
"Q36b - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Pubs, clubs, and bars (when COVID restrictions were lifted) - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Pubs, clubs, and bars (when COVID restrictions were lifted) "
"Q36b - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Pubs, clubs, and bars (when COVID restrictions were lifted) - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Pubs, clubs, and bars (when COVID restrictions were lifted) "
"Q36b - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Pubs, clubs, and bars (when COVID restrictions were lifted) - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Pubs, clubs, and bars (when COVID restrictions were lifted) "
"Q36c - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live events - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live events "
"Q36c - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live events - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live events "
"Q36c - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live events - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live events "
"Q36c - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live events - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live events "
"Q36d - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live music - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live music "
"Q36d - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live music - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live music "
"Q36d - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live music - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live music "
"Q36d - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live music - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Live music "
"Q36e - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Theatre performances - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Theatre performances "
"Q36e - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Theatre performances - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Theatre performances "
"Q36e - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Theatre performances - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Theatre performances "
"Q36e - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Theatre performances - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Theatre performances "
"Q36f - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) "
"Q36f - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) "
"Q36f - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) "
"Q36f - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Cinema (when COVID restrictions were lifted) "
"Q36g - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) "
"Q36g - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) "
"Q36g - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) "
"Q36g - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Activities organised by arts-based community groups (e.g. dance, music, arts, etc.) "
"Q36h - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Faith-based cultural activities - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Faith-based cultural activities "
"Q36h - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Faith-based cultural activities - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Faith-based cultural activities "
"Q36h - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Faith-based cultural activities - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Faith-based cultural activities "
"Q36h - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Faith-based cultural activities - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Faith-based cultural activities "
"Q36i - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) - Both",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Both' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) "
"Q36i - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) - In person",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'In person' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) "
"Q36i - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) - Not attended/done at least three times in past 12 months",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not attended/done at least three times in past 12 months' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) "
"Q36i - Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) - Virtual",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Virtual' to the question: Have the children in your household attended any of the following cultural events/attractions online or in person in Coventry, at least three times in the past 12 months? Home-based activity (e.g. crafts, music making and painting) "
Q38 - Has the COVID-19 pandemic changed your perception of the value of Coventry City of Culture 2021? - I don't think it's changed my perception,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'I don't think it's changed my perception' to the question: Has the COVID-19 pandemic changed your perception of the value of Coventry City of Culture 2021? 
Q38 - Has the COVID-19 pandemic changed your perception of the value of Coventry City of Culture 2021? - It's changed my perception in a negative way,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'It's changed my perception in a negative way' to the question: Has the COVID-19 pandemic changed your perception of the value of Coventry City of Culture 2021? 
Q38 - Has the COVID-19 pandemic changed your perception of the value of Coventry City of Culture 2021? - It's changed my perception in a positive way,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'It's changed my perception in a positive way' to the question: Has the COVID-19 pandemic changed your perception of the value of Coventry City of Culture 2021? 
Q39 - How well do you think Coventry as a whole has responded to the COVID-19 pandemic? - Fairly well,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Fairly well' to the question: How well do you think Coventry as a whole has responded to the COVID-19 pandemic? 
Q39 - How well do you think Coventry as a whole has responded to the COVID-19 pandemic? - Not very well,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not very well' to the question: How well do you think Coventry as a whole has responded to the COVID-19 pandemic? 
Q39 - How well do you think Coventry as a whole has responded to the COVID-19 pandemic? - Not very well at all,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not very well at all' to the question: How well do you think Coventry as a whole has responded to the COVID-19 pandemic? 
Q39 - How well do you think Coventry as a whole has responded to the COVID-19 pandemic? - Very well,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Very well' to the question: How well do you think Coventry as a whole has responded to the COVID-19 pandemic? 
Q4 - To what extent do you think Coventry City Council acts on the concerns of local residents? - A fair amount,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'A fair amount' to the question: To what extent do you think Coventry City Council acts on the concerns of local residents? 
Q4 - To what extent do you think Coventry City Council acts on the concerns of local residents? - A great deal,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'A great deal' to the question: To what extent do you think Coventry City Council acts on the concerns of local residents? 
Q4 - To what extent do you think Coventry City Council acts on the concerns of local residents? - Not at all,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not at all' to the question: To what extent do you think Coventry City Council acts on the concerns of local residents? 
Q4 - To what extent do you think Coventry City Council acts on the concerns of local residents? - Not very much,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not very much' to the question: To what extent do you think Coventry City Council acts on the concerns of local residents? 
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 0",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '0' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 0"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 1",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 1"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 10",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '10' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 10"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 2",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '2' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 2"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 3",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '3' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 3"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 4",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '4' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 4"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 5",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '5' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 5"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 6",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '6' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 6"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 7",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '7' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 7"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 8",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '8' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 8"
"Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 9",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '9' to the question:Q40a - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your financial situation? - 9"
"Q40b - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your job? - 0",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '0' to the question:Q40b - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your job? - 0"
"Q40b - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your job? - 1",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1' to the question:Q40b - On a scale of 0-10, where 0 is not worried at all and 10 is very worried, how worried are you about the impact of COVID-19 on your job? - 1"
