Q2,Q7,Q8,Q9,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q27,Q28,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q39_1,Q39_2,Q39_3,Q40,Q41_1,Q41_2,Q42_1,Q42_2,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q44_1_1,Q44_1_2,Q44_1_3,Q44_1_4,Q44_1_5,Q44_2_1,Q44_2_2,Q44_2_3,Q44_2_4,Q44_2_5,Q45,Q49,Q50,Q51,Q52,Q52_13_Other,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q54,Q54_6_Other,Q55,Q55_8_Other,Q56,Q56_4_Other,Q56_18_Other,Q57,DBMSOA,DBIMDDECILE,DBWARD,DBNEIGHBOURHOOD,Q26WEBWBSMETRIC,WEIGHT,SWEMWBS_Score,SWEMWBSCategories
Don't know,3,Tend to agree,Fairly safe,Fairly safe,Don't know,Not at all strongly, ,I feel less of a sense of belonging,Tend to agree,Don't know,Not at all likely,Bad,"Yes, I currently smoke","Yes, I currently use e-cigarettes",At least one portion but less than 3 portions,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,Tend to agree,Less frequently,"You and other household members had enough to eat, but not always the kinds of food you wanted", , ,Often,Rarely,Some of the time,Some of the time,Some of the time,Rarely,All of the time,"Yes, limited a lot",Almost all the time,None,Some but less than 1 hour,Some but less than 1 hour,Some but less than 1 hour,Some but less than 1 hour,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,None,None,None,Don't know,None,None,Don't know,Don't know,10 - Very worried,10 - Very worried, ,1,10 - Very worried,10 - Very worried,0 - Not worried at all,10 - Very worried,4,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not, ,Male,45-54, , , , , , , , , , , , ,Other religion (please specify),a believer,Black: Black British Caribbean, , , ,E02001966,3,Foleshill Ward,NE,19.98,1.594841826,22,Average Mental Wellbeing
 ,3,Tend to agree,Fairly unsafe,Fairly safe,Got worse to live in, , ,I feel the same,Definitely disagree,Tend to agree,Fairly likely,Very good,"Yes, I currently smoke","No, I have never used e-cigarettes",At least 5 portions, , ,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree, ,Less frequently,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,All of the time,All of the time,Often,All of the time,Some of the time,All of the time,All of the time,Not at all,Quite often,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours, , ,In person, , , , , , ,No, , , , , , , , , ,Royal Welsh Show,Malvern Flower Show,"Malvern Flea Markets, car boots",No - I don't think it has changed my perception,1, ,Don't know, ,10 - Very worried, ,10 - Very worried,7,10 - Very worried,4, ,10 - Very worried, ,0 - Not worried at all,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not, ,Female,65-74,Married,Retired, , , , , , , , ,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , , ,E02001993,8,Westwood Ward,SW,29.31,.403053742,32,High Mental Wellbeing
Fairly dissatisfied,2,Neither agree nor disagree,Fairly unsafe,Neither safe nor unsafe,Not changed much (hasn't got better or worse),Not very strongly,Fairly strongly,I feel the same,Tend to disagree,Tend to disagree,Not very likely,Very good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Definitely agree,Definitely agree,Tend to disagree,Tend to agree,Definitely agree,Tend to disagree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,1 day,Some of the time,Some of the time,Rarely,Often,Often,Rarely,Often,Not at all,Almost all the time,None,More than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,More than 2 and a half hours,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Yes,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months, ,In person,In person, , , ,No - I don't think it has changed my perception,None,2 or 3,No,Don't know,4,0 - Not worried at all,2,3, ,4,3,2,4,3,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to, ,Female,25-34,Co-habiting,In full time paid work, , , , , , , , ,Heterosexual, ,No religion, ,Mixed: White and Black Caribbean, , ,Not an ex-services member or their dependant,E02001992,3,Binley and Willenhall Ward,SE,19.98,5.102535771,22,Average Mental Wellbeing
Neither satisfied nor dissatisfied,4,Tend to agree,Fairly unsafe,Fairly safe,Not changed much (hasn't got better or worse),Not very strongly,Not very strongly,I feel the same,Tend to agree,Don't know,Not very likely,Fair,"Yes, I currently smoke","No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely agree,Tend to disagree,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,Tend to agree,Definitely disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days,Some of the time,Rarely,Often,Often,Some of the time,Some of the time,Some of the time,"Yes, limited a little",Never,None,Some but less than 1 hour,None,None,None,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,Yes,Yes,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,2,2,0 - Not worried at all,0 - Not worried at all,1,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not, ,Female,65-74,Widowed,Retired, , , , , , , , ,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001990,7,Binley and Willenhall Ward,SE,19.98,.481338542,22,Average Mental Wellbeing
Very satisfied,4,Neither agree nor disagree,Fairly safe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly, ,I feel the same,Tend to agree,Tend to disagree,Not very likely,Fair,No,"No, I have never used e-cigarettes", ,Definitely agree,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Once a day,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Some of the time,Some of the time,None of the time,Some of the time,Some of the time,Often,Some of the time,"Yes, limited a lot",Only sometimes,1 hour but less than 2 and a half hours, , ,None,Some but less than 1 hour,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months, ,In person,In person,No, , , , , , , , , , , , ,Yes - it has changed my perception in a positive way,None,1,Don't know,Don't know,5, ,5, , ,4,6,2,4,5,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not, ,Female,75 and over,Widowed,Retired, , , , , , , , ,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001999,6,Wainbody Ward,SW,18.59,.403053742,20,Possible Depression
Neither satisfied nor dissatisfied,2,Neither agree nor disagree,Neither safe nor unsafe,Neither safe nor unsafe,Not changed much (hasn't got better or worse),Not very strongly,Not very strongly,Don't know,Neither agree nor disagree,Tend to disagree,Not very likely,Fair,"Yes, but I no longer smoke","No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Definitely agree,Definitely agree,Tend to agree,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Once or twice a month,"You and other household members had enough to eat, but not always the kinds of food you wanted",Once a week,2 days,Some of the time,Often,Often,Often,Often,Often,Often,Not at all,Quite often,None,Some but less than 1 hour,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,Both,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Both,No, , , , , , , , , , , , ,Don't know,None,None,Don't know,Don't know,9,9,9,9,9,9,9,9,9,9,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not, ,Female,35-44,Single (Never married and never registered a same-sex civil partnership),In full time paid work, , , , , , , , ,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: Other (please specify in the box below), , ,Not an ex-services member or their dependant,E02001958,3,Longford Ward,NE,24.11,1.100362103,27,Average Mental Wellbeing
Fairly satisfied,I haven't visited Coventry City Centre in the last year,I haven't visited Coventry City Centre in the last year,Fairly safe,Fairly safe,Got better to live in,Fairly strongly, ,I feel the same,Neither agree nor disagree,Tend to agree,Fairly likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to agree,Tend to agree,Tend to disagree,Definitely disagree,Tend to agree,Tend to agree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days, , , , , ,Often, ,Not at all,Quite often,Some but less than 1 hour,More than 2 and a half hours,1 hour but less than 2 and a half hours,None,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Wedding,Christmas,Friends,Don't know,None, ,Don't know,Don't know,3,0 - Not worried at all,6,7,8,3,0 - Not worried at all,0 - Not worried at all, ,4,Not,Not,Not,Not,No but I would like to,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not, ,Female,55-64,Married,In part time paid work, , , , , , , , ,Heterosexual, ,Hindu, ,Asian: Asian British Indian, , ,Not an ex-services member or their dependant,E02001986,6,Woodlands Ward,SW, ,.434877937, , 
Very satisfied,3,Tend to agree,Fairly safe,Fairly safe,Got worse to live in,Fairly strongly,Fairly strongly,I feel the same,Tend to agree,Tend to disagree,Fairly likely,Good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,0 days,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,"Yes, limited a little",Only sometimes,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Coventry Museum - Two tone exhibit etc,Arts Centre - Theatre & meal gallery,Cathedral - local radio event / concert,Yes - it has changed my perception in a positive way,2 or 3,2 or 3,Don't know,No,8,8,7,5,5,5,5,8,5,6,Not,Not,I have in the past but no longer do so,Not,Not,Not,Not,Not,Not,No but I would like to, ,Female,65-74,Co-habiting,In part time paid work, , , , , , , , ,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001991,8,Earlsdon Ward,SW,20.73,.403053742,23,Average Mental Wellbeing
Fairly dissatisfied,4,Tend to agree,Very unsafe,Fairly unsafe,Not changed much (hasn't got better or worse), ,Very strongly,I feel the same,Definitely agree,Definitely disagree,Not very likely,Very good,"Yes, but I no longer smoke","Yes, I currently use e-cigarettes",At least 5 portions,Definitely agree,Tend to disagree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Definitely agree,Tend to disagree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink, ,Some of the time,Some of the time,Some of the time,Rarely,Some of the time,All of the time,All of the time,Not at all,Never,None,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,In person,Yes,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,In person,Eid prayers, , ,Don't know,None,None,Don't know,Don't know,6,8,2,2,10 - Very worried,2,2,2,2,5,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to, ,Male,35-44,Married,Other please specify,Freelance + studying, , , , , , , ,Heterosexual, ,Muslim, ,Asian: Asian British Pakistani, , ,Not an ex-services member or their dependant,E02001992,2,Lower Stoke Ward,SE,21.54,1.761872303,24,Average Mental Wellbeing
Fairly dissatisfied,3,Neither agree nor disagree,Fairly unsafe,Fairly safe,Not changed much (hasn't got better or worse),Not very strongly,Not very strongly,I feel the same,All the same ethnic background,Definitely disagree,Fairly likely,Fair,"Yes, I currently smoke","Yes, I currently use e-cigarettes","At least 3 portions, but less than 5 portions",Definitely disagree,Tend to disagree,Definitely agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to disagree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,1 day,Some of the time,Often,Rarely,Rarely,Some of the time,Some of the time,All of the time,"Yes, limited a little",Quite often,None,More than 2 and a half hours,Some but less than 1 hour,None,None,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Concerts (Birmingham / London),Theatre (London),Museum (London),No - I don't think it has changed my perception,None,2 or 3,No,No,1,0 - Not worried at all,5,4,6,6,1,1,1,8,"Yes, I volunteer with an organisation",Not,Not,Not,Not,Not,Not,Not,No and I do not wish to for now,Not, ,Male,35-44,Co-habiting,In full time paid work, , , , , , , , ,Gay man, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001980,9,Woodlands Ward,SW,19.98,1.20255275,22,Average Mental Wellbeing
Fairly dissatisfied,1 - Terrible,Strongly disagree,Very unsafe,Very safe,Got worse to live in, , ,I feel the same,Definitely agree,Definitely disagree,Not very likely,Fair,"Yes, but I no longer smoke","No, I have never used e-cigarettes",Less than one portion,Tend to disagree,Tend to agree,Tend to disagree,Tend to disagree,Definitely disagree,Definitely agree,Tend to disagree,Definitely agree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink, ,Often, ,Rarely,None of the time,Some of the time,All of the time,All of the time,Not at all,Almost all the time,None,None,None,None,None, ,In person, , , ,In person, , ,In person,No, , , , , , , , , , , , ,Yes - its has changed my perception in a negative way,None, ,No,No, , ,10 - Very worried,10 - Very worried,10 - Very worried,10 - Very worried, ,0 - Not worried at all,10 - Very worried,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not, ,Female,65-74,Widowed,Retired, , , , , , , , ,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , , ,E02001981,2,St. Michael's Ward,SE, ,.481338542, , 
Fairly satisfied,3,Tend to agree,Neither safe nor unsafe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel more of a sense of belonging,Definitely agree,Tend to agree,Fairly likely,Very good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,Once a week,1 day,Often,Often,Often,Often,Often,Often,Often,Not at all,Only sometimes,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,In person,In person,In person,In person,In person,In person,In person,In person,In person,Yes,Not attended/done at least three times in past 12 months,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Musical theatre shows - B'ham Hippodrome,Live music event - Big Weekend,Live performance - comedy: Warwick Uni,Yes - it has changed my perception in a positive way,2 or 3,4 or more,Yes,Yes,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to, ,Female,55-64,Married,In full time paid work, , , , , , , , ,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: Irish, , ,Not an ex-services member or their dependant,E02001983,8,Whoberley Ward,SW,25.03,.434877937,28,High Mental Wellbeing
Very satisfied,4,Tend to agree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel more of a sense of belonging,Definitely agree,Don't know,Not very likely,Very good,"Yes, but I no longer smoke","No, I have never used e-cigarettes",At least one portion but less than 3 portions,Tend to agree,Tend to agree,Definitely agree,Definitely disagree,Tend to agree,Definitely agree,Definitely disagree,Tend to agree,Once or twice a month,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Often,Often,Not at all,Almost all the time,Some but less than 1 hour,More than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,1 hour but less than 2 and a half hours,In person,In person,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Yes,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,N/A, , ,No - I don't think it has changed my perception,None,2 or 3,Yes,Yes,10 - Very worried,0 - Not worried at all,7,7,5,5,0 - Not worried at all,0 - Not worried at all,4,5,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to, ,Female,35-44,Single (Never married and never registered a same-sex civil partnership),In full time paid work, , , , , , , , ,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001970,5,Upper Stoke Ward,SE,19.98,1.124108227,22,Average Mental Wellbeing
Neither satisfied nor dissatisfied,2,Neither agree nor disagree,Fairly unsafe,Fairly safe,Not changed much (hasn't got better or worse),Not very strongly,Not very strongly,I feel the same,Neither agree nor disagree,Don't know,Fairly likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Tend to agree,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Tend to agree,Tend to disagree,Tend to disagree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,3 days,Some of the time,Often,Some of the time,Often,Often,Often,Often,"Yes, limited a little",Never,None,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,Some but less than 1 hour,Some but less than 1 hour,Not attended/done at least three times in past 12 months,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception, ,1,Don't know,Don't know,2,0 - Not worried at all,2,2,2,2,0 - Not worried at all,0 - Not worried at all,2,2,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not, ,Female,55-64,Divorced,In part time paid work, , , , , , , , ,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,Mixed: White and Asian, , ,Not an ex-services member or their dependant,E02001980,10,Woodlands Ward,SW,23.21,.434877937,26,Average Mental Wellbeing
Fairly satisfied,3,Tend to agree,Fairly unsafe,Neither safe nor unsafe,Not changed much (hasn't got better or worse),Not very strongly,Fairly strongly,Don't know,Tend to agree,Tend to disagree,Fairly likely,Good,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely agree,Tend to agree,Definitely agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink, ,Often,Often,Often,Often,Often,Often,Often,Not at all,Only sometimes,Some but less than 1 hour,1 hour but less than 2 and a half hours, ,More than 2 and a half hours,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,N/A, , ,No - I don't think it has changed my perception,None,None,Yes,Don't know,7,6,5,6,6,6,6,5,5,5,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not, ,Male,55-64,Married,Other please specify,Working towards self employment, , , , , , , ,Heterosexual, ,Muslim, ,Asian: Asian British Pakistani, , ,Not an ex-services member or their dependant,E02001961,1,Longford Ward,NE,25.03,1.02227469,28,High Mental Wellbeing
Very satisfied,3,Tend to agree,Fairly unsafe,Fairly safe,Not changed much (hasn't got better or worse),Very strongly,Very strongly,I feel more of a sense of belonging,Tend to agree,Tend to disagree,Very likely,Very good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to disagree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,1 day,Rarely,Often,Often,Often,Often,All of the time,All of the time,Not at all,Never,1 hour but less than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,None,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Window wonderland,Daniel Lismore exhibition,Compton Verney,Yes - it has changed my perception in a positive way,2 or 3,1,Yes, ,1,1,5,1,3,1,0 - Not worried at all,6,0 - Not worried at all,1,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not, ,Male,55-64,Married,In part time paid work, , , , , , , , ,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001983,6,Whoberley Ward,SW,25.03,.491525529,28,High Mental Wellbeing
Very satisfied,5 - Fantastic,Strongly disagree,Fairly unsafe,Very unsafe,Got better to live in,Very strongly,Fairly strongly,I feel more of a sense of belonging,Tend to agree,Tend to agree,Fairly likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Definitely agree,Tend to agree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Once a week,1 day,All of the time,Often,Often,Often,Often,Often,Often,Not at all,Never,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,In person,Yes,In person,In person,In person, ,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,City of Culture events,Godiva festival,Window wonderland online,Yes - it has changed my perception in a positive way,2 or 3,2 or 3,Yes, ,1,1,5,2,2,2,2,6,2,3,"Yes, I volunteer with an organisation",Not,Not,Not,Not, , , , , , ,Female,35-44,Co-habiting,In part time paid work, , , , , , , , ,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001974,7,Sherbourne Ward,SW,26.02,.879127765,29,High Mental Wellbeing
Fairly satisfied,3,Tend to agree,Neither safe nor unsafe,Fairly safe,Don't know,Not very strongly,Not very strongly,I feel the same,Tend to agree,Tend to agree,Not very likely,Fair,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely agree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to disagree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink, ,Some of the time,Often,Some of the time,Some of the time,Often,Often,All of the time,"Yes, limited a little",Almost all the time,None,1 hour but less than 2 and a half hours,None,None,None,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,None,"""","""",No - I don't think it has changed my perception,None, ,No,Don't know,1,0 - Not worried at all,2,1,1,1,0 - Not worried at all,2,0 - Not worried at all,1,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not, ,Female,65-74,Widowed,Retired, , , , , , , , ,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001959,5,Holbrook Ward,NW,23.21,.466037067,26,Average Mental Wellbeing
