survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Other please specify,Which of the following best describes your religion?,Other please specify,Please indicate your ethnic origin and cultural background:,Ethnic Group,Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,"Household composition: Adult (18-59-female, 18-64-male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Working (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Retired (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?",Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?,Which of the following best describes your current economic status?,Other please specify,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the selection events.,Please rate the quality of the core training.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,55-64,Male,Co-habiting,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,No Response,0,0,0,3,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Good,Often,Often,Often,Often,Often,Some of the time,Often,Donâ€™t know,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Poor,Strongly agree,No Response,No Response,Good,Good,Excellent,Not Sure
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,6,"Yes, my confidence has increased",Agree,Agree,25-34,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,No Response,In full time paid work,No Response,Not at all,Fair,Some of the time,Often,Some of the time,Some of the time,Often,Some of the time,Often,Not very strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,9,Not sure,Agree,Agree,55-64,Male,Married,Heterosexual,No Response,Buddhist,No Response,White â€“ British,White British,0,0,0,0,1,0,1,No Response,No Response,No Response,Never,Doing unpaid/voluntary work,No Response,Not at all,Very good,All of the time,Often,Often,Often,All of the time,Often,All of the time,Very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,No Response,No Response,Good,Excellent,Excellent,No Response
City Host Survey - July 2021,5,"No, my confidence has not increased",Agree,Disagree,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,0,No Response,2,No Response,No Response,No Response,Only sometimes,Doing unpaid/voluntary work,No Response,Not at all,Good,Some of the time,Often,Rarely,Some of the time,Some of the time,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Poor,Disagree,No Response,No Response,Poor,Very Poor,Poor,No Response
City Host Survey - July 2021,5,"No, my confidence has not increased",Disagree,Disagree,16-24,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,1,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Yes limited a little,Good,Rarely,Some of the time,None of the time,Some of the time,Rarely,Rarely,Often,Not very strongly,Fairly strongly,Definitely disagree,Neither satisfied nor dissatisfied,Not sure,Poor,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,8,"Yes, my confidence has increased",Agree,Strongly agree,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,1,0,1,No Response,No Response,No Response,Prefer not to say,At home/not seeking work- (looking after the home or family),No Response,Not at all,Good,All of the time,Often,Often,Often,Often,Often,Often,Not at all strongly,Not at all strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Excellent,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Disagree,Agree,45-54,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,3,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Yes limited a lot,Good,Some of the time,Some of the time,Some of the time,Often,All of the time,Often,All of the time,Not very strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Good,Good,Excellent,Good
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,2,2,2,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,Not sure,Agree,Disagree,35-44,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,1,1,0,0,2,0,0,No Response,No Response,No Response,"Quite often,",In full time paid work,No Response,Not at all,Good,Often,Often,Rarely,Often,Some of the time,All of the time,All of the time,Very strongly,Very strongly,Tend to disagree,Very satisfied,Not sure,Excellent,Strongly agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,55-64,Female,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,1,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,35-44,Male,Divorced,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Black or Black British â€“ African,"Black, African, Caribbean, or Black British",4,0,0,0,4,3,0,No Response,No Response,No Response,"Quite often,",Doing unpaid/voluntary work,No Response,Not at all,Good,Some of the time,All of the time,Often,Some of the time,Rarely,All of the time,Some of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Not Sure
City Host Survey - July 2021,8,"Yes, my confidence has increased",Agree,Agree,45-54,Female,Married,Heterosexual,No Response,No religion,No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,2,0,0,No Response,No Response,No Response,Never,Doing unpaid/voluntary work,No Response,Not at all,Very good,Some of the time,Often,Often,All of the time,Often,Often,All of the time,Not very strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Excellent,Excellent,Good,Excellent
City Host Survey - July 2021,8,"Yes, my confidence has increased",Strongly agree,Strongly agree,45-54,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,2,0,0,0,2,0,0,No Response,No Response,No Response,Almost all the time,Doing unpaid/voluntary work,No Response,Yes limited a little,Fair,Often,Often,Some of the time,Some of the time,All of the time,Rarely,All of the time,Not very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,8,"No, my confidence has not increased",Disagree,Disagree,65-74,Female,Divorced,Heterosexual,No Response,Other (please specify),Spiritual,No Response,No Response,0,No Response,No Response,No Response,1,No Response,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,All of the time,No Response,All of the time,All of the time,All of the time,All of the time,All of the time,Not very strongly,Not at all strongly,Definitely agree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,No Response,No Response,Good,Poor,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,65-74,Female,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Often,All of the time,All of the time,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Excellent,Good,Excellent,Good
City Host Survey - July 2021,8,"Yes, my confidence has increased",Agree,Agree,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,0,0,1,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Yes limited a little,Good,Often,Often,Often,Often,Often,Rarely,Often,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,5,"Yes, my confidence has increased",Disagree,Agree,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,Hindu,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,1,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Yes limited a little,Good,Some of the time,Often,Some of the time,Often,Often,Often,All of the time,Not very strongly,Fairly strongly,Definitely disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,9,"No, my confidence has not increased",Strongly agree,Not sure,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,1,1,1,1,0,1,No Response,No Response,No Response,Only sometimes,"Taking part in a government training programme (e.g. trade and modern apprenticeships, work-based learning for adults)",No Response,Yes limited a little,Good,Often,Often,Often,Often,All of the time,All of the time,All of the time,Very strongly,Very strongly,Don't know,Fairly dissatisfied,Not sure,Good,Agree,No Response,No Response,Excellent,Good,Good,Good
City Host Survey - July 2021,8,Not sure,Agree,Agree,55-64,Female,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,Retired,No Response,Not at all,Good,Some of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Often,Not very strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Excellent,Excellent,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,25-34,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,Hindu,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,No Response,0,0,0,3,0,0,No Response,No Response,No Response,Never,In full-time education,No Response,Not at all,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,7,Not sure,Agree,Not sure,45-54,Female,Married,Prefer not to say,No Response,No religion,No Response,White â€“ British,White British,0,0,1,0,2,0,0,No Response,No Response,No Response,Prefer not to say,In full time paid work,No Response,Not at all,Good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,7,Not sure,Agree,Agree,55-64,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,0,No Response,No Response,1,No Response,No Response,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Fair,Often,Some of the time,Rarely,Often,Some of the time,Rarely,All of the time,Very strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Not sure,No Response,No Response,Poor,Poor,Good,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,7,"Yes, my confidence has increased",Agree,Agree,16-24,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Black or Black British â€“ African,"Black, African, Caribbean, or Black British",0,0,0,0,0,0,0,No Response,No Response,No Response,"Quite often,",In part time paid work,No Response,Not at all,Fair,Some of the time,Rarely,Often,Rarely,Rarely,Often,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,5,Not sure,Agree,Disagree,55-64,Female,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,1,1,1,1,2,1,1,No Response,No Response,No Response,Only sometimes,Doing unpaid/voluntary work,No Response,Not at all,Good,Rarely,Often,Some of the time,Rarely,Rarely,Some of the time,All of the time,Fairly strongly,Not very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Not Sure,Disagree,No Response,No Response,Not Sure,Not Sure,Good,No Response
City Host Survey - July 2021,8,"Yes, my confidence has increased",Strongly agree,Strongly agree,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,1,Prefer not to say,Retired,No Response,Not at all,Good,Often,Often,Some of the time,Often,Often,Often,Often,Not very strongly,Not very strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Excellent,Good,Excellent,Not Sure
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,8,"Yes, my confidence has increased",Strongly agree,Not sure,65-74,Female,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,0,1,No Response,No Response,No Response,Only sometimes,Retired,No Response,Yes limited a little,Fair,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,All of the time,Fairly strongly,Very strongly,Don't know,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Not sure,No Response,No Response,Not Sure,Not Sure,Good,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Agree,45-54,Male,Co-habiting,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,1,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Good,Often,Often,Often,Often,Often,Often,Often,Very strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,9,"No, my confidence has not increased",Agree,Not sure,35-44,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Good,Often,Often,Often,Often,Often,Often,Rarely,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,9,"Yes, my confidence has increased",Agree,Not sure,45-54,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,1,3,0,0,No Response,No Response,No Response,Prefer not to say,In part time paid work,No Response,Not at all,Good,Some of the time,Often,Some of the time,Often,Some of the time,Often,Often,Fairly strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,9,"Yes, my confidence has increased",Strongly agree,Agree,55-64,Female,Divorced,Heterosexual,No Response,Buddhist,No Response,White â€“ British,White British,0,0,0,0,1,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Good,Some of the time,Often,Some of the time,Often,Often,Some of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Excellent
City Host Survey - July 2021,No Response,"Yes, my confidence has increased",Strongly agree,Agree,45-54,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,All of the time,Often,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Strongly agree,Not sure,25-34,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,2,0,0,0,2,0,No Response,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Very good,Often,Some of the time,Rarely,Often,Often,Some of the time,Some of the time,Not very strongly,Not very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,9,"Yes, my confidence has increased",Strongly agree,Not sure,45-54,Male,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,4,0,0,No Response,No Response,No Response,Never,At home/not seeking work- (looking after the home or family),No Response,Not at all,Fair,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Often,Fairly strongly,Very strongly,Tend to disagree,Very satisfied,"Yes, it improves wellbeing a lot",Poor,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,7,No Response,No Response,No Response,75 and over,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,2,0,0,0,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Yes limited a little,Fair,Some of the time,Some of the time,Often,All of the time,Often,Some of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Not Sure,Not sure,No Response,No Response,Not Sure,Poor,Not Sure,No Response
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Disagree,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,All of the time,Often,All of the time,All of the time,All of the time,All of the time,Often,Fairly strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Good,Good,Good,Excellent
City Host Survey - July 2021,8,"Yes, my confidence has increased",Strongly agree,Agree,45-54,Male,Co-habiting,Prefer not to say,No Response,No religion,No Response,White â€“ British,White British,0,No Response,No Response,No Response,2,No Response,No Response,No Response,No Response,No Response,No Response,In full time paid work,No Response,Not at all,Fair,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,No Response,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,7,"No, my confidence has not increased",Agree,Not sure,75 and over,Female,Married,Heterosexual,No Response,No religion,No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",No Response,0,0,0,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,Often,Often,Some of the time,Often,Often,Some of the time,Often,Fairly strongly,Not very strongly,No Response,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,No Response,No Response,Excellent,Good,Excellent,No Response
City Host Survey - July 2021,5,"No, my confidence has not increased",Strongly disagree,Strongly disagree,55-64,Female,Married,Other (please specify),Bullshit,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,1,1,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Rarely,Rarely,Some of the time,Often,Often,Rarely,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"No, it doesn't improve wellbeing",Poor,Not sure,No Response,No Response,Poor,Poor,Not Sure,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,2,0,0,0,1,1,No Response,No Response,No Response,No Response,Never,No Response,No Response,Not at all,Good,Often,Often,Often,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Not very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Good,Excellent
City Host Survey - July 2021,10 - Extremely likely,No Response,Agree,Agree,65-74,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,1,0,0,0,0,1,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Excellent
City Host Survey - July 2021,7,"No, my confidence has not increased",Agree,Not sure,35-44,Female,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Yes limited a little,Fair,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Not very strongly,Not very strongly,Don't know,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Excellent,Not Sure
