Event,Programme,Venue,Venue Postcode,Commercial or Non-Commercial?,Co-Created,"Free Event, or Paid Event",Streamed on Social Media or Broadcast,Box Office,First Performance,No. of Performances
The Ruff Tuff Cream Puff Estate Agency,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Belgrade Theatre,09/10/2021,9
Coventry Sound Systems present Dancehall Vibes,City of Culture Main Programme,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,09/10/2021,1
HOME: Coventry Sleepout,Caring City,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,09/10/2021,1
Coventry Biennial: Eat Your Words: Growing Mushrooms on Books,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,09/10/2021,-
Try It - Bhangra Tots Family Dance,Love Coventry,Broad Street Meeting Hall,CV6 5BG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,09/10/2021,Various
Try It Food and Fables,Love Coventry,The Friends Meeting House (The Quakers),CV1 4AN,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,09/10/2021,Various
Made In Coventry,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,09/10/2021,1
Coventry Biennial: Coventry Biennial Free The Trees,Visual Arts Programme - Coventry Biennial,The Old Grammar School,CV1 1HP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,10/10/2021,-
HOME: Variety Showcase & Open Mic,Caring City,Coventry Central Library,CV1 1FY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,10/10/2021,1
CVX Young Producers Workshops,Caring City,Coventry Boys' and Girls' Club,CV1 2DT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,10/10/2021,10
HOME: 2nd Int. Arts & Homelessness Summit Online,Caring City,Online,Online,Non-Commercial,Co-Created,Paid Event,Streamed,The Ticket Factory,11/10/2021,1
HOME: 2nd International Arts & Homelessness Summit,Caring City,Methodist Central Hall,CV1 2HA,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,11/10/2021,1
Coventry Biennial: Coventry Biennial House Opening,Visual Arts Programme - Coventry Biennial,HMV Empire,CV1 1LF,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,12/10/2021,-
HOME: Home Grown Film Night,Caring City,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,12/10/2021,1
Try it Anybody Can Drum,Love Coventry,Broad Street Meeting Hall,CV6 5BG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,12/10/2021,Various
Try It Play The Part,Love Coventry,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,12/10/2021,Various
Coventry Biennial: Coventry Biennial Proof Opening,Visual Arts Programme - Coventry Biennial,The Old Grammar School,CV1 1HP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,13/10/2021,-
Coventry Biennial: Phoenix City 2021 + Things Fall Apart,Visual Arts Programme - Coventry Biennial,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,14/10/2021,-
Try It Maternal Journal,Love Coventry,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,15/10/2021,Various
Walking Forest,Green Futures,Coventry City Centre,CV1 1FS,Non-Commercial,Co-Created,Free Event,Streamed,Unticketed,15/10/2021,1
Coventry Biennial: Mycelial Singing,Visual Arts Programme - Coventry Biennial,The Old Grammar School,CV1 1HP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,17/10/2021,-
Coventry Biennial: Mothers Who Make Coventry Artist Statement,Visual Arts Programme - Coventry Biennial,Online,Online,Non-Commercial,Co-Created,Paid Event,Online Zoom Session,The Ticket Factory,20/10/2021,-
Try It Storytellers,Love Coventry,St Mark's Coventry,CV1 5FX,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,20/10/2021,Various
Coventry Biennial: TELL ME MORE: Zine-Making Workshop,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,23/10/2021,1
The Community Radio Conference,Love Coventry,Coventry Transport Museum,CV1 1JD,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,23/10/2021,1
Coventry Biennial: Wild Yeasts Go Wild,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,24/10/2021,-
Coventry Biennial: Fun with Fungi,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,25/10/2021,-
Lost Lending Library,City of Culture Main Programme,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,25/10/2021,32
The Walk: Coventry Embraces,Caring City,University Square,CV1 5FB,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,27/10/2021,1
The Walk: Little Amal Comes to Coventry,Caring City,Coventry City Centre,CV1 1FS,Non-Commercial,Co-Created,Free Event,Streamed,Unticketed,27/10/2021,1
Black Panther - Black History Month,CineCov,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,28/10/2021,1
Urban Jungle Test Day,Caring City,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,28/10/2021,1
Coventry Biennial: Art and Language,Visual Arts Programme - Coventry Biennial,Coventry Transport Museum,CV1 1JD,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,29/10/2021,-
From the Source Festival,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,29/10/2021,2
BBC CSL:  Poetry Toolkit,BBC Contains Strong Language,Coventry University,CV1 5FB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,30/10/2021,1
Coventry Biennial: Biennial Tour Hyper Possible and Anthropocene,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,30/10/2021,-
Bride of Frankenstein,CineCov,"Anglican Chapel, London Road Cemetery",CV1 2JT,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,30/10/2021,1
Coventry Biennial: Ink from Mushrooms,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,30/10/2021,-
Trash Film Club: The Wicker Man,CineCov,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,31/10/2021,1
Coventry Biennial: We Bear,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,03/11/2021,-
Coventry Biennial: KMRU,Visual Arts Programme - Coventry Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,04/11/2021,-
Coventry Biennial: Parallel State,Visual Arts Programme - Coventry Biennial,Online,Online,Non-Commercial,Co-Created,Paid Event,Online Zoom Session,The Ticket Factory,04/11/2021,-
Coventry Biennial: SOA,Visual Arts Programme - Coventry Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,04/11/2021,-
Coventry Biennial: Talking about Anthropocene,Visual Arts Programme - Coventry Biennial,Coventry Transport Museum,CV1 1JD,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,04/11/2021,-
UK Green Film Festival Now,Green Futures,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,04/11/2021,1
Reform The Norm: Story Of Us: Live,Caring City,Methodist Central Hall,CV1 2HA,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/11/2021,3
Change Festival,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,05/11/2021,22
Coventry Sound Systems present Coventry meets Kingston,City of Culture Main Programme,HMV Empire,CV1 1LF,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,06/11/2021,1
Broken Angel: Anne Petters: Lichtung - Break/Lichtung - White Drift,Visual Arts Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,06/11/2021,Installation
Abundance,Love Coventry,Foleshill,CV6 5AJ,Non-Commercial,Co-Created,Free Event,Streamed,Unticketed,07/11/2021,1
Seaview Premiere,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Belgrade Theatre,10/11/2021,1
Coventry Biennial: Mothers Make Coventry Infertility in the Arts,Visual Arts Programme - Coventry Biennial,Online,Online,Non-Commercial,Co-Created,Paid Event,Online Zoom Session,The Ticket Factory,10/11/2021,-
Seaview Screening,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Paid Event,N/A,Belgrade Theatre,11/11/2021,9
Coventry Biennial: Hyper Possible Leamington,Visual Arts Programme - Coventry Biennial,Leamington Spa Art Gallery & Museum,CV32 4AA,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,11/11/2021,-
House is a Feeling (Exhibition),City of Culture Main Programme,IKEA Building,CV1 3AZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,11/11/2021,Exhibition
Random String Festival: Light Nights Art Walk,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,11/11/2021,3
Global Youth Series - Day 1: A Brave New World,Youthful Cities,The Box at FarGo Village / Online,CV1 5ED,Non-Commercial,Co-Created,Free Event,Streamed,Registrations,11/11/2021,1
House Is A Feeling (Live Experience),City of Culture Main Programme,IKEA Building,CV1 3AZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,12/11/2021,6
Coventry Biennial: Mothers Who Make Coventry,Visual Arts Programme - Coventry Biennial,Online,Online,Non-Commercial,Co-Created,Paid Event,Online Zoom Session,The Ticket Factory,17/11/2021,-
Coventry Biennial: Interferences,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,20/11/2021,-
Coventry Biennial: Interferences Workshop,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,20/11/2021,-
Coventry Biennial: Potluck Lunch Objects,Visual Arts Programme - Coventry Biennial,The Old Grammar School,CV1 1HP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,20/11/2021,-
WICA PRESENTS: FAST & FURIOUS 9,CineCov,Radford Community Centre,CV6 3EX,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,20/11/2021,1
Coventry Glides,City of Culture Main Programme,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,26/11/2021,Ice Rink
Becoming Fungi Becoming Forest Preview,Green Futures,"Secret City Centre Location, Coventry",CV1 1GF,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,30/11/2021,2
Becoming Fungi Becoming Forest,Green Futures,"Secret City Centre Location, Coventry",CV1 1GF,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,02/12/2021,4
Reform The Norm: Hungry Nation,Caring City,Foleshill Community Centre,CV6 5AJ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,03/12/2021,2
Coventry Biennial: Biennial Tour Hyper-Possible and Hyper Lab,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,04/12/2021,-
Coventry Biennial: Potluck Lunch,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,04/12/2021,-
Coventry Glides MOBO,City of Culture Main Programme,Coventry Cathedral,CV1 5AB,Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,04/12/2021,1
Beckett's Room,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,04/12/2021,4
Coventry Biennial: Russell Haswell,Visual Arts Programme - Coventry Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,08/12/2021,-
Coventry Biennial: Between Sound and Concept,Visual Arts Programme - Coventry Biennial,Shop Front Theatre,CV1 3HX,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,08/12/2021,-
Theatre Next Door: Magic Elves (Hagard Community Centre),Love Coventry,"The Hagard Community Centre, Coventry",CV3 3DG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,11/12/2021,Multiple
Theatre Next Door: Flying Bazazi Brothers,Love Coventry,Foleshill Community Centre,CV6 5AJ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,11/12/2021,Multiple
Theatre Next Door: The Magic Elves,Love Coventry,"Jubilee Crescent Community Centre, Coventry",CV6 5EX,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,11/12/2021,Multiple
Coventry Biennial: Mothers Who Make Coventry Festive Quiz,Visual Arts Programme - Coventry Biennial,Online,Online,Non-Commercial,Co-Created,Paid Event,Online Zoom Session,The Ticket Factory,15/12/2021,-
An Other Christmas,Caring City,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,16/12/2021,1
Its a Wonderful Life,CineCov,"Anglican Chapel, London Road Cemetery",CV1 2JT,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,18/12/2021,1
Theatre Next Door: RSVP Bhangra Band,Love Coventry,"Indian Community Centre, Coventry",CV6 5GP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,18/12/2021,Multiple
WICA PRESENTS: THE GREATEST SHOWMAN,CineCov,Canley Community Centre,CV4 8FT,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,18/12/2021,1
'The Snowman' film with live orchestra,CineCov,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,23/12/2021,2
Coventry Biennial: Mirror With A Memory,Visual Arts Programme - Coventry Biennial,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,08/01/2022,-
Coventry Biennial: Mothers Who Make Coventry Biennial Symposium,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,15/01/2022,-
Coventry Biennial: Moving On and What Would Roseanne Do,Visual Arts Programme - Coventry Biennial,Rugby Art Gallery & Museum,CV21 3BZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,15/01/2022,-
Her Day Opera: Developing an Opera Buddies Friends Group,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Eventbrite,18/01/2022,1
Ghosts in the Ruins,City of Culture Main Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,Broadcast on BBC4,The Ticket Factory,27/01/2022,4
Her Day Opera: Producing a New Opera,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Eventbrite,27/01/2022,1
Theatre Next Door: Comedy Of Errors,Love Coventry,Earlsdon Carnegie Community Library,CV5 6FZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,29/01/2022,Multiple
Symphony of Us,City of Culture Main Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,Streamed,The Ticket Factory,04/02/2022,3
Try It Create and Repair Club l,Love Coventry,FabLab Coventry Eco Furniture Factory,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/02/2022,Various
Try It Create and Repair Club ll,Love Coventry,FabLab Coventry Eco Furniture Factory,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/02/2022,Various
Richard Sadler: Sadler and the City,Visual Arts Programme,The Old Grammar School,CV1 1HP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,08/02/2022,Exhibition
I Ain't Dumb,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Paid Event,N/A,Belgrade Theatre,09/02/2022,5
Made in the Midlands with Steve Ogrizovic,City of Culture Main Programme,Sky Blue Tavern,CV1 3JZ,Non-Commercial,Not Co-Created,Paid Event,Podcast Available,The Ticket Factory,09/02/2022,1
Made in the Midlands with Jess Phillips MP,City of Culture Main Programme,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Paid Event,Podcast Available,The Ticket Factory,11/02/2022,1
Window Wanderland Old Town Arts Workshop,Love Coventry,"The Band Factory, Leamington Spa",CV31 2AU,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,11/02/2022,1
Through the Lens of Masterji,Visual Arts Programme,Compton Verney,CV35 9HZ,Non-Commercial,Not Co-Created,Free Event,N/A,Compton Verney,12/02/2022,Exhibition
Juneau Projects in Spon End,Green Futures,Koco Community Centre,CV1 3JQ,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,16/02/2022,Multiple
Her Day Opera: Directing a New Opera,Caring City,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,Eventbrite,17/02/2022,1
"Daniel Lismore: Be Yourself, Everyone Else Is Already Taken",Visual Arts Programme,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,18/02/2022,Exhibition
Foleshill Community Centre Brief Encounter,CineCov,Foleshill Community Centre,CV6 5AJ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,18/02/2022,1
Try It EnviroArt Coffee Morning,Love Coventry,Limbrick Wood Baptist Church Hall,CV4 9RD,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,18/02/2022,Various
Papaya,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Free Event,N/A,Warwick Arts Centre,18/02/2022,1
Global Youth Series - Day 2: Making Creative Cities,Youthful Cities,The Box at FarGo Village / Online,CV1 5ED,Non-Commercial,Co-Created,Free Event,Streamed,Registrations,18/02/2022,1
Window Wanderland 2022 - Earlsdon & Whoberly,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Stivichall etc,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Stoke,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Binley etc,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Foleshill etc,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Attleborough etc,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Coundon etc,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Walsgrave etc,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Leamington Old Town etc,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Kenilworth,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Canley,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Tile Hill,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Rugby,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Window Wanderland 2022 - Flecknoe,Love Coventry,Citizen's Homes,Various,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/02/2022,Home Based
Try It Pass the Pen,Love Coventry,Methodist Central Hall,CV1 2HA,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,21/02/2022,Various
Try It Learn to Skateboard,Love Coventry,The Market Hall at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,22/02/2022,Various
Theatre Next Door: Time Machine (Holbrooks),Love Coventry,Holbrooks Community Centre,CV6 4JU,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,23/02/2022,Multiple
Chineke! Orchestra,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,23/02/2022,1
CVX Festival General Pass,Caring City,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,25/02/2022,1
CVX Festival CUIDADO,Caring City,"Square One, The Hub",CV1 5FB,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,25/02/2022,3
CVX Festival Hip Hop Jam,Caring City,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,25/02/2022,1
CVX Festival Callisthenics Workshop,Caring City,"Square One, The Hub",CV1 5FB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,26/02/2022,1
CVX Festival CineCov We Are Parable IGNITE,Caring City / CineCov,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,26/02/2022,1
CVX Festival I Am A Real Person,Caring City,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,26/02/2022,1
When a Child is a Witness,Cathedral Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Paid Event,Streamed,The Ticket Factory,26/02/2022,1
Where There Is Light,Caring City,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,26/02/2022,Installation
Kerbs,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Paid Event,N/A,Belgrade Theatre,27/02/2022,9
Song and Soil Breaking Ground at Food Union,Green Futures,"Food Union CV5 Site, Coventry",CV5 8DH,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,27/02/2022,1
Wildlife Walk River Sherbourne Valley Project,Green Futures,Oasis Community Hub and Café,CV1 3BL,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,27/02/2022,1
Candoco Dance,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,02/03/2022,1
Deliaphonic: Delia Derbyshire Film Screening,Deliaphonic,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,03/03/2022,1
Broken Angel: Barbara Walker,Visual Arts Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,03/03/2022,Installation
Deliaphonic: Cosey Fanni Tutti,Deliaphonic,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,04/03/2022,1
Deliaphonic: Sonic Playground,Deliaphonic,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,04/03/2022,1
Deliaphonic: Big Fish Little Fish,Deliaphonic,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,05/03/2022,1
Deliaphonic: Delia Derbyshire Day,Deliaphonic,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,05/03/2022,1
Deliaphonic: Lonelady,Deliaphonic,Coventry Cathedral,CV1 5AB,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,05/03/2022,1
This is Africa - She Speaks,City of Culture Supported Programme,Coventry Transport Museum,CV1 1JD,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,05/03/2022,1
Made In Coventry Sacred Sounds,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,05/03/2022,1
Deliaphonic: Journey to Nutopia,Deliaphonic,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,06/03/2022,1
Deliaphonic: Supersonic Kids Gig Lia Mice,Deliaphonic,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,06/03/2022,1
Deliaphonic: The Oram Awards Presents,Deliaphonic,Drapers Hall,CV1 5RN,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,06/03/2022,1
Try It Anybody Can Drum,Love Coventry,Broad Street Meeting Hall,CV6 5BG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,08/03/2022,Various
Her Day Opera,Caring City,HMV Empire,CV1 1LF,Non-Commercial,Not Co-Created,Paid Event,N/A,Eventbrite,08/03/2022,4
Black Voices: Celebrating Nina,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,08/03/2022,1
Foraging and Folklore Walk,Green Futures,"The Hub, Coventry University",CV1 5FB,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,10/03/2022,1
Try It Learn to Play Steelpan,Love Coventry,Koco Community Centre,CV1 3JQ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,10/03/2022,Various
Boudica Mini Festival Rock N Docs,CineCov,The Tin Music and Arts,CV1 4LY,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,11/03/2022,1
CVX Festival Night of Laughter feat Guz Khan,Caring City,Drapers Hall,CV1 5RN,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,11/03/2022,1
Max Richter: Voices and Infra,Warwick Arts Centre Programme,Warwick Arts Centre,CV4 7AL,Non-Commercial,Not Co-Created,Paid Event,N/A,Warwick Arts Centre,12/03/2022,1
A Stitch In Time Fashioning Queer Identities,Visual Arts Programme,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,14/03/2022,1
Richard Sadler: Sadler and Industry,Visual Arts Programme,The Old Grammar School,CV1 1HP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,15/03/2022,Exhibition
