IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
651,651,50-64,Female,Yes,Yes,Yes,No,Yes,Yes,Strongly disagree,Disagree,Disagree,Strongly agree,For the Assembly Garden to keep coming back.,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,The opportunity to show off my city,"Batch, Lady Godiva, Godiva Festival.",,Definitely,Somewhat,Somewhat,Definitely,Definitely,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not sure,,,CV56FW,,No,White – British,Heterosexual/Straight,No,,Earlsdon,South West,CAPI,1 - Affluent Achievers,0.8615715
652,652,50-64,Male,Yes,No,Yes,No,Not sure,No,Agree,Agree,Disagree,Agree,"For the community to be brought together, for it to be long term.",,,,,,,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,,,Live events,,,Cinema,,Faith-based cultural activities,,1-2,,,The events that are on don't appeal to me,,,,Any other reason,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,"Industry, Lady Godiva, Peeping Tom, multicultural place.",,Somewhat,Not Sure,Somewhat,Definitely,Not really,Fairly important,Fairly important,Fairly important,Fairly important,Don't know / Not sure,Very important,Fairly important,Fairly important,Not sure,,,CV56FW,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,,Earlsdon,South West,CAPI,1 - Affluent Achievers,0.9638936
653,653,35-49,Female,Yes,Yes,Yes,Yes,Yes,No,Disagree,Strongly disagree,Strongly disagree,Agree,"A lot of the events they put on could be able to come back and carry on, that would be great. Everyone I spoke to loved it.",,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,"Diversity and inclusion, Earlsdon Festival, War Memorial, Carribbean festival in town.",,Definitely,Definitely,Somewhat,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Fairly important,Very important,Fairly important,Strongly agree,"The Assembly Garden, the Photography Gallery, Fargo Village.",,CV56FW,,No,White – British,Heterosexual/Straight,No,,Earlsdon,South West,CAPI,1 - Affluent Achievers,0.8615715
654,654,35-49,Female,Yes,Yes,Yes,No,No,No,Not sure,Strongly disagree,Strongly disagree,Agree,"For some of the events to stay around, such as the Assembly Festival Garden. It's a space that could be utilised more.",,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,Visiting the city and seeing existing attractions,"Improved, cultural.",,Definitely,Somewhat,Definitely,Definitely,Somewhat,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Agree,"More events going on in general - I've been made aware of more local events, such as the Canley Community Centre, which has gained activities since City of Culture.",,CV49EZ,,No,White – British,Heterosexual/Straight,No,,Westwood,South West,CAPI,3 - Comfortable Communities,0.8615715
655,655,20-34,Male,Yes,No,No,No,Not sure,Yes,Agree,Agree,Agree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,,,,Live music,Theatre,Cinema,,,,5-6,,,,,,,,,,Events that involve family and friends,,,Events which are low cost,,,,Fairly likely,Visiting the city and seeing existing attractions,interesting place,,Not really,Not really,Somewhat,Not really,Not Sure,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Not sure,,,cv6 3hd,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.7968816
656,656,50-64,Female,No,Yes,No,Yes,No,No,Disagree,Disagree,Disagree,Strongly agree,good for the community,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,multicultural,,Definitely,Somewhat,Definitely,Somewhat,Definitely,Very important,Very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Disagree,,,cv6 3db,,No,White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,5 - Urban Adversity,1.2132465
657,657,20-34,Female,Yes,Yes,No,No,No,Yes,Disagree,Agree,Disagree,Not sure,not really,,,,,,,,,,,,,,,,,,,Other,,,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,,,Live events,Live music,,,,,,1-2,,,,,,,,None / Nothing,,,Events which are free,,,Offers for exclusive deals with partners such as restaurants and bars,,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,not sure,,Not really,Somewhat,Somewhat,Somewhat,Somewhat,Very important,Very important,Not very important,Very important,Very important,Fairly important,Fairly important,Not at all important,Not sure,,,cv6 3db,,No,White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,5 - Urban Adversity,0.9312169
658,658,20-34,Male,Yes,Yes,No,No,No,No,Not sure,Not sure,Disagree,Agree,good impect on mental health of this community,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,,,Live events,Live music,,,,,,1-2,The cost,,,,Feeling unsafe being out at night,,,,,Events that involve family and friends,,,,,,,Fairly likely,Visiting the city and seeing existing attractions,average city,,Somewhat,Somewhat,Somewhat,Not really,Somewhat,Very important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Disagree,,,cv6 3db,,No,White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,5 - Urban Adversity,0.7968816
659,659,20-34,Male,No,No,Yes,No,No,No,Disagree,Disagree,Disagree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,7-8,,,,,,,,,,Events that involve family and friends,,,Events which are low cost,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,i lke to visit city centre,,Somewhat,Somewhat,Somewhat,Somewhat,Definitely,Very important,Fairly important,Fairly important,Very important,Fairly important,Very important,Fairly important,Fairly important,Strongly disagree,,,cv6 3db,,No,Black or Black British – African,Heterosexual/Straight,No,,Radford,North West,CAPI,5 - Urban Adversity,0.7968816
660,660,20-34,Female,Yes,No,No,No,No,No,Strongly disagree,Not sure,Disagree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Not sure,Not sure,Not sure,Not sure,,,Live events,Live music,Theatre,Cinema,,,,1-2,,,The events that are on don't appeal to me,,,,Any other reason,,Events that are based on my interests,,Events which are free,,Events which are low cost,,,,Fairly likely,Visiting the city and seeing existing attractions,safe but small,,Definitely,Definitely,Somewhat,Somewhat,Somewhat,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Not very important,Disagree,,,cv6 3db,,No,Black or Black British – African,Heterosexual/Straight,No,,Radford,North West,CAPI,5 - Urban Adversity,0.9312169
661,661,16-19,Male,No,Yes,Yes,No,Yes,No,Agree,Disagree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Museums and galleries,,Live events,,,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Looking for new experiences,calm and nice,,Definitely,Somewhat,Somewhat,Somewhat,Somewhat,Very important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Not sure,,,cv6 3da,,No,Any Other Asian Background,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.7968816
662,662,16-19,Female,No,No,No,No,No,No,Not sure,Not sure,Not sure,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,,"Pubs, clubs, and bars",,,,,,,,1-2,,,The events that are on don't appeal to me,,Feeling unsafe being out at night,,,,,,,,,,,None of these / Would not attend,Not likely at all,,,Don't know,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Fairly important,Not very important,Strongly disagree,,,cv6 3an,,No,White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.9312169
663,663,20-34,Male,Yes,No,No,No,No,No,Strongly disagree,Disagree,Disagree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,,,Live events,Live music,,,,,,1-2,,,The events that are on don't appeal to me,,,,,,,Events that involve family and friends,,Events across different times of the day in different places in the city,,,,,Not very likely,,multicultural,,Somewhat,Somewhat,Somewhat,Not really,Not Sure,Very important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Not very important,Not sure,,,cv6 3an,,No,White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.7968816
664,664,20-34,Female,Yes,Yes,No,Yes,No,No,Disagree,Not sure,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,,,,,,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,1-2,,,The events that are on don't appeal to me,,,,,,,Events that involve family and friends,Events which are free,,Events which are low cost,,,,Fairly likely,Looking for new experiences,i dont like ring road,,Somewhat,Somewhat,Somewhat,Somewhat,Definitely,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Fairly important,Not very important,Not sure,,,cv6 3an,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.9312169
665,665,16-19,Female,Yes,No,No,No,No,No,Not sure,Not sure,Disagree,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Agree,Not sure,,,Live events,Live music,,Cinema,,,,1-2,,,The events that are on don't appeal to me,,,,,,Events that are based on my interests,Events that involve family and friends,,,,,,,Extremely likely,Visiting the city and seeing existing attractions,its ok,,Definitely,Somewhat,Definitely,Definitely,Somewhat,Fairly important,Fairly important,Very important,Very important,Fairly important,Very important,Fairly important,Not very important,Disagree,,,cv6 3gq,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.9312169
666,666,20-34,Female,Yes,No,No,No,No,No,Disagree,Disagree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Museums and galleries,,,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,1-2,,,,,Feeling unsafe being out at night,,,,,Events that involve family and friends,,Events across different times of the day in different places in the city,,,,,Fairly likely,Visiting the city and seeing existing attractions,busy,,Not Sure,Definitely,Somewhat,Somewhat,Somewhat,Very important,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Not sure,,,cv6 3gq,,No,Black or Black British – African,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.9312169
667,667,16-19,Male,Yes,No,No,Yes,No,No,Disagree,Disagree,Disagree,Disagree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,Live events,Live music,,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,1-2,The cost,Lack of transport,The events that are on don't appeal to me,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,Looking for new experiences,vibrant and creative,,Somewhat,Somewhat,Somewhat,Definitely,Definitely,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not sure,,,cv6 3gq,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.7968816
668,668,16-19,Male,Yes,No,No,No,No,No,Agree,Disagree,Agree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Not sure,Not sure,Agree,Not sure,Agree,,,,,Theatre,Cinema,,,,3-4,,,,,,,,,,,Events which are free,,,,,,Fairly likely,Visiting the city and seeing existing attractions,ok,,Somewhat,Somewhat,Not really,Somewhat,Somewhat,Fairly important,Don't know / Not sure,Don't know / Not sure,Fairly important,Fairly important,Fairly important,Not very important,Not very important,Not sure,,,cv6 3gq,,No,Any Other Asian Background,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.7968816
669,669,50-64,Male,Yes,Yes,No,No,Yes,No,Not sure,Not sure,Not sure,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Not sure,Not sure,Not sure,Not sure,Not sure,,,,,Theatre,Cinema,,,,1-2,,,,,,,Any other reason,,,,Events which are free,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,busy,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Not sure,,,cv6 3gs,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,3 - Comfortable Communities,1.0107265
670,670,50-64,Female,Yes,No,No,No,No,No,Not sure,Not sure,Not sure,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Strongly agree,Agree,Agree,Agree,Agree,Museums and galleries,,Live events,Live music,,,,,,1-2,The cost,,,,,,Any other reason,,,,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,too much university stuff,,Somewhat,Somewhat,Definitely,Somewhat,Somewhat,Very important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Not sure,,,cv6 3gs,,"Yes, limited a little",White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,3 - Comfortable Communities,1.2132465
671,671,20-34,Male,Yes,No,No,No,No,Yes,Agree,Agree,Agree,Agree,good for the local businesses,,,,,,,,,,,,,,,,,,Positive comments,,,,Agree,Strongly agree,Agree,Agree,Agree,Agree,,,Live events,Live music,,Cinema,,,,3-4,,,,,,,,,,Events that involve family and friends,Events which are free,,,,,,Fairly likely,Visiting the city and seeing existing attractions,diverse,,Somewhat,Not really,Somewhat,Not at all,Not really,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Not very important,Not sure,,,cv6 3gs,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Radford,North West,CAPI,3 - Comfortable Communities,0.7968816
672,672,50-64,Male,Yes,No,No,No,No,No,Not sure,Not sure,Not sure,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Not sure,Not sure,Not sure,Not sure,Not sure,,,Live events,Live music,,,,,,1-2,The cost,,,,,,,,,,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,average city,,Somewhat,Not really,Somewhat,Somewhat,Somewhat,Don't know / Not sure,Don't know / Not sure,Fairly important,Not very important,Fairly important,Fairly important,Fairly important,Not very important,Not sure,,,cv6 3gx,,No,White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,1.0107265
673,673,20-34,Female,Yes,No,No,No,No,No,Not sure,Disagree,Agree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Museums and galleries,,,,,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,1-2,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,Visiting the city and seeing existing attractions,developing and a lot of opportunities for young people,,Not Sure,Somewhat,Somewhat,Somewhat,Somewhat,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Very important,Not sure,,,cv6 3gx,,No,Any Other Asian Background,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,0.9312169
674,674,35-49,Male,Yes,No,No,No,No,No,Disagree,Disagree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,,Live music,,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,1-2,The cost,,,,,,,,,Events that involve family and friends,,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Visiting the city and seeing existing attractions,good city,,Somewhat,Somewhat,Somewhat,Not Sure,Somewhat,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Not sure,,,cv6 3gx,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,,Radford,North West,CAPI,4 - Financially Stretched,1.0107265
675,675,20-34,Female,Yes,Yes,No,Yes,No,No,Strongly agree,Agree,Strongly agree,Strongly agree,Cheaper accomadation,,,,,,,,,,,,,,,,,,,Other,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,3-4,,,,,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Fun culture food,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,,Don't know,Cv1 iba,,No,White – British,Heterosexual/Straight,Yes,,St Michael's,South East,CAPI,Prefer not to say / Unable to code,0.9480587
676,676,20-34,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,5-6,,,,,,,,,,Events that involve family and friends,Events which are free,,,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,,Don't know,Cv1 4re,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9480587
677,677,20-34,Male,Yes,No,Yes,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,1-2,The cost,,,Location,,,,,,,Events which are free,,Events which are low cost,,,,Not very likely,,University,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,,Don't know,Cv1 2bq,,No,Asian or Asian British – Indian,Heterosexual/Straight,Yes,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9355968
678,678,16-19,Male,Yes,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Not sure,Agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,,,,1-2,,,The events that are on don't appeal to me,,,,,,,,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Looking for new experiences,Boring,,Definitely,Somewhat,Definitely,Definitely,Somewhat,Not at all important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,,Don't know,Cv24fu,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,Yes,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9355968
679,679,20-34,Male,No,Yes,No,No,Yes,No,Not sure,Not sure,Not sure,Not sure,More festivals and music,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,Live events,Live music,,,,,,1-2,The cost,Lack of transport,The events that are on don't appeal to me,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Expensive,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Not very important,Not sure,,,Cv3 ff,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,St Michael's,South East,CAPI,Prefer not to say / Unable to code,0.9355968
680,680,20-34,Male,Yes,Not sure,No,Yes,Yes,Yes,Not sure,Disagree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Looking for new experiences,,Don't know,Somewhat,Not really,Definitely,Somewhat,Definitely,Very important,Fairly important,Not at all important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Agree,,Don't know,Cv3 1nt,,No,White – British,Heterosexual/Straight,No,,St Michael's,South East,CAPI,5 - Urban Adversity,0.9355968
681,681,20-34,Female,Yes,Yes,Yes,No,No,No,Disagree,Disagree,Disagree,Disagree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,Live events,Live music,,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,,Don't know,Definitely,Somewhat,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Don't know / Not sure,Not sure,,,Cv1 5ls,,No,Asian or Asian British – Indian,Heterosexual/Straight,Yes,,St Michael's,South East,CAPI,6 - Not Private Households,0.9480587
682,682,20-34,Female,Yes,Yes,Not sure,No,Not sure,Not sure,Agree,Disagree,Not sure,Agree,For people to have a better opinion of Coventry so that we can attract tourists,,,,,,,,,,,,,,,Long term impact,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,Vibrant and lively,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,The monuments around the university and city centre,,Cv1 2ub,,No,Asian or Asian British – Indian,Heterosexual/Straight,Yes,,St Michael's,South East,CAPI,3 - Comfortable Communities,0.9480587
683,683,20-34,Male,Yes,Yes,No,Yes,No,No,Disagree,Agree,Disagree,Not sure,"I have been in Coventry formore than 9 months now, however being the city of culture, I haven't noticed any festivals of different cultures and traditions celebrated in the city. I would to see the city celebrated some widely known festivals like Diwali, Chinese New Year, etc. so as to make the international students connect with people from their home country and enjoy the festival together rather than alone or in small groups.",,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Not sure,Agree,Agree,Disagree,Disagree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,,Events across different times of the day in different places in the city,,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,,Don't know,Not really,Somewhat,Not really,Not really,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Not sure,,,CV15EE,,No,Asian or Asian British – Indian,Heterosexual/Straight,Yes,,St Michael's,South East,CAPI,4 - Financially Stretched,0.9355968
